country_name,year,count
Sri Lanka,1960,9874476
Lesotho,1960,837270
Lithuania,1960,2778550
Luxembourg,1960,313970
Latvia,1960,2120979
"Macao SAR, China",1960,167791
St. Martin (French part),1960,3893
Morocco,1960,12328532
Monaco,1960,22452
Moldova,1960,2544000
Madagascar,1960,5099373
Maldives,1960,89863
Mexico,1960,37771859
Marshall Islands,1960,14662
North Macedonia,1960,1488667
Mali,1960,5263733
Malta,1960,326550
Myanmar,1960,21736942
Montenegro,1960,480579
Mongolia,1960,955505
Northern Mariana Islands,1960,9979
Mozambique,1960,7184869
Mauritania,1960,850384
Mauritius,1960,659351
Malawi,1960,3659984
Malaysia,1960,8156347
Namibia,1960,634142
New Caledonia,1960,79000
Niger,1960,3388764
Nigeria,1960,45138458
Nicaragua,1960,1773129
Netherlands,1960,11486631
Norway,1960,3581239
Nepal,1960,10105050
Nauru,1960,4375
New Zealand,1960,2371800
Oman,1960,551740
Pakistan,1960,44988690
Panama,1960,1132997
Peru,1960,10155015
Philippines,1960,26269734
Palau,1960,9771
Papua New Guinea,1960,2255859
Poland,1960,29637450
Puerto Rico,1960,2358000
"Korea, Dem. People’s Rep.",1960,11424176
Portugal,1960,8857716
Paraguay,1960,1903982
Pacific island small states,1960,865072
French Polynesia,1960,78076
Qatar,1960,47384
Romania,1960,18406905
Russian Federation,1960,119897000
Rwanda,1960,2935582
Saudi Arabia,1960,4086539
Sudan,1960,7544491
Senegal,1960,3206749
Singapore,1960,1646400
Solomon Islands,1960,117849
Sierra Leone,1960,2317636
El Salvador,1960,2766324
San Marino,1960,15432
Somalia,1960,2755972
South Sudan,1960,2842724
Sao Tome and Principe,1960,64302
Suriname,1960,287871
Slovak Republic,1960,4068095
Slovenia,1960,1584720
Sweden,1960,7484656
Eswatini,1960,336583
Seychelles,1960,41700
Syrian Arab Republic,1960,4573512
Turks and Caicos Islands,1960,5824
Chad,1960,3001609
Togo,1960,1580513
Thailand,1960,27397207
Tajikistan,1960,2087049
Turkmenistan,1960,1603258
Timor-Leste,1960,474532
Tonga,1960,61577
Trinidad and Tobago,1960,847979
Tunisia,1960,4178236
Turkey,1960,27472345
Tuvalu,1960,5323
Tanzania,1960,10052152
Uganda,1960,6767095
Ukraine,1960,42664652
Uruguay,1960,2538643
United States,1960,180671000
Uzbekistan,1960,8526300
St. Vincent and the Grenadines,1960,80977
"Venezuela, RB",1960,8141841
British Virgin Islands,1960,8048
Virgin Islands (U.S.),1960,32500
Vietnam,1960,32670039
Vanuatu,1960,63689
Samoa,1960,108629
Kosovo,1960,947000
"Yemen, Rep.",1960,5315355
South Africa,1960,17099840
Zambia,1960,3070776
Zimbabwe,1960,3776681
